location,total_sqft,bhk,bath,balcony,age_years,furnishing,parking,price_lakhs
Whitefield,849,1,1,2,2.3,Unfurnished,1,50.42
HSR Layout,576,1,1,2,8.2,Furnished,1,50.63
Koramangala,1013,2,2,2,7.9,Semi-Furnished,1,117.93
Hebbal,2108,4,3,1,14.6,Furnished,1,149.55
Sarjapur Road,1031,2,2,2,2.9,Unfurnished,0,52.86
Koramangala,1468,3,3,2,4.3,Furnished,1,170.61
Yelahanka,772,1,1,2,3.8,Unfurnished,1,38.56
Indiranagar,1523,3,3,1,15.8,Unfurnished,1,121.07
Marathahalli,1157,2,1,2,8.8,Furnished,1,68.82
Jayanagar,1655,3,2,1,10.7,Unfurnished,0,123.64
Sarjapur Road,1108,2,3,2,0.9,Furnished,0,68.36
Marathahalli,1354,3,3,0,9.4,Semi-Furnished,0,77.51
Koramangala,847,2,2,1,3.4,Furnished,1,98.88
Electronic City,1522,3,3,0,0.1,Semi-Furnished,1,79.75
Indiranagar,2074,4,4,4,0.4,Semi-Furnished,1,231.3
Indiranagar,1063,2,2,0,6.8,Unfurnished,0,100.04
Koramangala,2098,4,5,0,2.8,Semi-Furnished,0,220.7
JP Nagar,1888,3,2,0,12.2,Semi-Furnished,1,160.98
Marathahalli,850,2,2,0,8.0,Semi-Furnished,1,48.5
Jayanagar,752,2,3,1,0.1,Unfurnished,1,62.09
Electronic City,1100,2,2,0,7.0,Unfurnished,1,47.6
BTM Layout,1444,3,4,0,1.3,Unfurnished,1,106.02
Hebbal,1547,3,2,1,3.3,Unfurnished,1,98.94
Whitefield,688,1,1,1,5.9,Unfurnished,1,45.62
Hebbal,1693,3,3,4,12.4,Furnished,1,133.96
Jayanagar,1274,3,4,3,3.7,Unfurnished,1,107.57
Electronic City,2016,4,4,2,9.9,Unfurnished,1,94.71
HSR Layout,1564,3,2,1,9.2,Furnished,0,158.99
Jayanagar,2216,4,4,1,3.2,Unfurnished,1,183.99
Indiranagar,1829,3,4,0,4.2,Semi-Furnished,1,223.1
Sarjapur Road,1193,2,1,0,7.2,Semi-Furnished,1,71.34
JP Nagar,2091,4,4,0,0.2,Semi-Furnished,1,176.1
Yelahanka,916,2,3,1,13.3,Semi-Furnished,0,42.11
Jayanagar,965,2,3,0,8.8,Semi-Furnished,1,84.57
HSR Layout,961,2,1,3,1.7,Unfurnished,1,84.26
Yelahanka,2198,4,5,3,23.8,Semi-Furnished,1,107.72
Jayanagar,2139,4,4,2,1.2,Semi-Furnished,1,173.13
Whitefield,851,2,2,0,14.7,Unfurnished,1,49.63
Jayanagar,985,2,2,1,2.4,Unfurnished,0,74.35
JP Nagar,1182,2,1,0,8.6,Furnished,0,93.13
HSR Layout,1553,3,4,1,3.7,Semi-Furnished,1,148.8
Whitefield,1135,2,2,2,8.0,Unfurnished,1,61.75
JP Nagar,1557,3,2,0,1.0,Furnished,0,137.56
Indiranagar,1294,2,2,0,1.9,Semi-Furnished,1,135.93
Koramangala,1085,2,3,0,0.6,Furnished,1,131.42
Indiranagar,542,1,2,0,12.0,Furnished,0,56.63
Koramangala,913,2,1,0,2.1,Semi-Furnished,0,94.07
Hebbal,2137,4,4,1,7.1,Semi-Furnished,1,145.97
Jayanagar,684,2,3,3,10.3,Semi-Furnished,0,50.75
Indiranagar,1022,2,2,0,13.9,Furnished,0,98.62
BTM Layout,1019,2,2,1,0.7,Semi-Furnished,0,78.12
BTM Layout,845,2,3,0,13.4,Unfurnished,0,53.23
BTM Layout,461,1,1,2,1.3,Unfurnished,1,36.9
Koramangala,1171,2,3,2,8.0,Unfurnished,1,140.29
HSR Layout,1535,3,2,1,7.8,Furnished,1,150.38
Sarjapur Road,1515,3,4,1,0.1,Furnished,1,96.35
JP Nagar,1096,2,3,2,1.5,Semi-Furnished,1,96.39
Whitefield,1064,2,2,2,4.1,Semi-Furnished,1,68.61
Whitefield,2986,5,5,1,3.3,Furnished,1,223.38
Jayanagar,1069,2,2,2,15.0,Unfurnished,1,82.46
BTM Layout,831,2,2,2,2.7,Unfurnished,1,57.55
Jayanagar,1295,2,2,0,16.6,Semi-Furnished,1,102.07
Jayanagar,1106,2,3,0,3.7,Furnished,1,113.5
Electronic City,1412,3,4,3,20.0,Semi-Furnished,0,54.07
Yelahanka,862,2,2,1,8.0,Unfurnished,1,43.72
JP Nagar,1559,3,2,0,10.6,Unfurnished,0,93.36
HSR Layout,582,1,1,1,0.7,Semi-Furnished,0,59.68
JP Nagar,1286,2,3,3,5.3,Furnished,1,96.43
Sarjapur Road,1448,3,2,0,0.9,Semi-Furnished,1,88.08
Indiranagar,924,2,1,4,2.1,Unfurnished,1,87.68
Jayanagar,1634,3,3,1,5.9,Unfurnished,1,118.68
Koramangala,1189,2,1,2,7.8,Furnished,1,119.42
JP Nagar,1525,3,2,0,0.2,Unfurnished,1,105.25
Marathahalli,701,1,2,1,4.5,Unfurnished,1,40.27
Yelahanka,2094,4,5,2,5.0,Furnished,1,115.69
JP Nagar,1085,2,3,4,0.5,Furnished,1,90.3
HSR Layout,2275,4,3,0,4.2,Semi-Furnished,1,237.88
BTM Layout,1144,2,2,0,7.5,Semi-Furnished,1,76.15
Jayanagar,1475,3,3,0,0.3,Unfurnished,1,131.45
Indiranagar,1253,2,3,2,8.6,Unfurnished,1,110.27
Hebbal,1745,4,5,2,5.2,Unfurnished,1,109.52
JP Nagar,1358,2,3,3,10.7,Semi-Furnished,1,98.1
Koramangala,794,2,2,3,1.5,Unfurnished,1,86.83
BTM Layout,956,2,2,3,10.7,Furnished,1,66.92
BTM Layout,594,1,1,1,0.6,Unfurnished,1,43.27
Koramangala,1028,2,3,0,3.1,Semi-Furnished,1,109.27
Sarjapur Road,2251,4,3,1,1.3,Semi-Furnished,0,122.81
Indiranagar,2641,5,6,1,12.5,Semi-Furnished,1,265.95
Indiranagar,1089,2,3,3,7.3,Unfurnished,1,119.06
Indiranagar,2013,4,3,1,0.2,Furnished,1,219.37
BTM Layout,1544,3,2,1,0.1,Unfurnished,0,111.82
Yelahanka,1040,2,3,0,2.1,Semi-Furnished,0,52.88
Indiranagar,1514,3,3,1,0.9,Semi-Furnished,1,155.06
HSR Layout,1418,3,3,4,6.0,Unfurnished,1,132.81
Marathahalli,2723,5,4,1,6.5,Semi-Furnished,1,152.78
Electronic City,1093,2,3,1,17.1,Semi-Furnished,1,41.73
BTM Layout,1642,3,3,1,18.2,Furnished,1,122.62
JP Nagar,510,1,2,0,6.5,Furnished,0,46.58
Jayanagar,470,1,2,0,0.0,Unfurnished,1,43.03
Sarjapur Road,692,1,2,0,2.7,Unfurnished,0,33.62
HSR Layout,2795,5,5,0,4.3,Unfurnished,1,236.36
Sarjapur Road,1625,3,3,1,4.1,Furnished,1,111.3
Yelahanka,1364,3,4,2,5.5,Unfurnished,1,73.75
Yelahanka,1233,3,3,2,19.4,Semi-Furnished,1,57.06
Indiranagar,970,2,2,1,13.0,Semi-Furnished,1,88.98
BTM Layout,935,2,1,0,0.7,Semi-Furnished,1,80.36
HSR Layout,1038,2,2,2,1.9,Unfurnished,0,89.49
Indiranagar,954,2,2,0,10.7,Unfurnished,1,82.53
Whitefield,1611,3,3,1,10.4,Unfurnished,0,81.02
Jayanagar,1457,3,3,0,1.9,Unfurnished,1,112.13
Jayanagar,623,1,1,2,7.9,Unfurnished,0,57.35
Hebbal,624,1,1,2,6.7,Unfurnished,0,43.5
BTM Layout,629,1,1,2,3.8,Semi-Furnished,1,45.09
Electronic City,1046,2,3,0,1.3,Unfurnished,0,49.72
Hebbal,2177,4,4,2,13.2,Unfurnished,0,135.33
Indiranagar,1381,3,4,4,6.8,Unfurnished,1,135.97
BTM Layout,1710,3,2,1,1.1,Unfurnished,1,115.52
JP Nagar,1015,2,3,1,7.3,Unfurnished,0,67.66
Jayanagar,853,2,3,1,8.1,Unfurnished,1,69.18
Hebbal,628,1,1,2,13.1,Semi-Furnished,1,36.49
Koramangala,1972,4,4,1,1.5,Unfurnished,1,199.64
Jayanagar,1600,3,2,2,26.9,Furnished,1,126.4
JP Nagar,1381,2,2,2,1.0,Unfurnished,0,107.68
HSR Layout,1382,3,3,1,5.5,Furnished,1,136.52
HSR Layout,1100,2,1,1,6.4,Furnished,0,114.54
Jayanagar,1237,3,3,0,3.3,Semi-Furnished,0,91.27
JP Nagar,2168,4,4,1,3.9,Furnished,1,200.75
Koramangala,1367,3,2,3,13.3,Unfurnished,1,121.42
Indiranagar,1406,3,3,2,6.2,Unfurnished,1,133.23
Hebbal,435,1,1,2,4.1,Unfurnished,1,30.15
JP Nagar,710,1,1,1,0.8,Unfurnished,1,53.6
Electronic City,1201,2,2,1,0.0,Unfurnished,0,50.06
Koramangala,604,1,1,1,0.8,Semi-Furnished,0,60.37
Indiranagar,1370,3,3,3,18.8,Unfurnished,1,107.84
Koramangala,1738,3,3,3,8.7,Unfurnished,0,176.44
HSR Layout,937,2,3,2,20.5,Unfurnished,1,70.07
Hebbal,1776,4,4,1,0.2,Semi-Furnished,1,132.47
Yelahanka,1119,2,1,1,6.8,Furnished,1,55.82
Marathahalli,884,2,2,4,0.3,Semi-Furnished,1,58.8
Koramangala,1198,2,2,1,9.1,Unfurnished,1,106.95
JP Nagar,993,2,3,1,2.9,Unfurnished,1,78.83
Jayanagar,1141,2,2,1,0.6,Semi-Furnished,0,93.08
Sarjapur Road,1260,2,3,1,5.0,Unfurnished,0,71.36
Yelahanka,869,2,3,0,2.0,Furnished,1,51.41
Indiranagar,2715,5,5,0,6.5,Unfurnished,0,234.95
Yelahanka,589,1,1,0,6.4,Unfurnished,1,31.02
Koramangala,1281,2,1,0,7.3,Furnished,0,144.48
Hebbal,501,1,1,1,29.3,Furnished,0,29.56
Electronic City,1411,3,3,1,2.9,Semi-Furnished,0,66.5
Indiranagar,672,1,1,2,3.8,Unfurnished,1,57.7
BTM Layout,2013,4,3,2,9.8,Semi-Furnished,0,113.79
Indiranagar,1523,3,4,2,5.2,Unfurnished,0,152.9
JP Nagar,1267,3,3,0,0.2,Unfurnished,1,89.18
Koramangala,1832,3,2,0,11.1,Unfurnished,1,187.8
Yelahanka,848,2,2,1,0.3,Semi-Furnished,1,45.76
Hebbal,1002,2,1,0,1.1,Semi-Furnished,1,68.65
Jayanagar,1045,2,2,2,0.6,Unfurnished,0,88.9
Koramangala,1787,3,3,1,0.5,Furnished,0,208.07
Indiranagar,851,2,1,3,0.2,Unfurnished,1,77.61
Whitefield,898,1,2,0,0.3,Unfurnished,1,51.06
Koramangala,2914,5,5,2,3.5,Semi-Furnished,1,285.14
Yelahanka,663,1,1,2,1.7,Furnished,0,38.09
Sarjapur Road,1352,3,2,0,0.8,Furnished,1,83.19
BTM Layout,1586,3,3,0,6.5,Semi-Furnished,1,116.24
JP Nagar,941,2,2,1,1.5,Unfurnished,1,68.73
JP Nagar,1240,2,3,1,0.1,Furnished,0,100.29
Yelahanka,904,2,2,1,3.3,Furnished,1,46.32
Koramangala,1483,3,4,4,2.2,Unfurnished,0,178.46
BTM Layout,1417,3,3,0,2.3,Semi-Furnished,0,103.3
Yelahanka,1352,3,3,0,3.5,Semi-Furnished,1,79.89
Jayanagar,2211,4,5,1,6.6,Unfurnished,0,189.45
Electronic City,1580,3,4,0,5.8,Furnished,1,77.43
HSR Layout,1231,2,2,2,16.6,Unfurnished,1,98.94
HSR Layout,783,2,2,2,4.4,Semi-Furnished,1,75.46
BTM Layout,2260,4,5,0,3.8,Unfurnished,1,181.1
Jayanagar,1426,2,2,2,1.4,Semi-Furnished,0,132.13
HSR Layout,532,1,1,1,8.4,Semi-Furnished,0,44.5
Sarjapur Road,1784,3,3,0,0.9,Unfurnished,1,101.92
Electronic City,1011,2,1,1,4.1,Unfurnished,1,45.12
HSR Layout,1894,4,4,3,3.3,Furnished,1,182.76
Whitefield,1454,3,2,0,6.4,Semi-Furnished,1,92.98
Hebbal,757,1,1,0,15.0,Semi-Furnished,1,54.85
BTM Layout,1974,4,4,0,17.6,Unfurnished,0,110.0
Koramangala,960,2,2,2,1.1,Unfurnished,1,95.86
BTM Layout,1139,2,3,2,1.8,Semi-Furnished,1,95.95
Koramangala,1050,2,2,1,10.0,Furnished,1,117.92
BTM Layout,688,1,1,4,4.4,Unfurnished,1,44.36
Hebbal,1086,2,1,0,3.6,Semi-Furnished,0,81.03
JP Nagar,1122,2,2,0,7.4,Unfurnished,1,82.23
Whitefield,985,2,2,3,5.5,Unfurnished,1,57.18
Sarjapur Road,1085,2,3,2,21.2,Semi-Furnished,0,57.82
Hebbal,1361,3,2,0,5.3,Unfurnished,1,98.41
Koramangala,1693,3,4,0,3.8,Unfurnished,0,169.79
JP Nagar,955,2,2,2,4.7,Semi-Furnished,1,84.6
Koramangala,1219,2,2,1,9.9,Semi-Furnished,1,142.85
BTM Layout,1015,2,1,3,5.7,Semi-Furnished,1,64.65
Electronic City,1080,2,2,1,6.2,Semi-Furnished,1,44.93
Hebbal,1426,3,4,2,21.3,Semi-Furnished,0,73.53
Jayanagar,1348,3,3,2,5.8,Unfurnished,0,103.01
Electronic City,788,2,1,1,2.9,Unfurnished,1,30.77
Koramangala,892,2,2,0,7.1,Semi-Furnished,1,90.89
Whitefield,551,1,2,3,6.5,Unfurnished,1,34.59
Jayanagar,1532,3,3,3,0.1,Furnished,1,135.12
Koramangala,1202,2,2,0,3.8,Semi-Furnished,1,134.74
Marathahalli,2733,5,4,1,8.1,Unfurnished,1,150.14
Koramangala,1368,3,3,1,4.1,Semi-Furnished,1,150.71
Koramangala,834,2,2,2,9.1,Furnished,1,97.68
Hebbal,1572,3,3,2,3.6,Unfurnished,1,89.76
Whitefield,2307,4,4,0,24.6,Unfurnished,1,105.44
BTM Layout,1690,3,3,2,2.1,Furnished,1,155.9
JP Nagar,1156,2,2,0,0.6,Unfurnished,1,78.93
Yelahanka,1146,2,2,2,3.4,Unfurnished,1,62.14
Marathahalli,2355,4,3,0,4.7,Unfurnished,1,119.0
BTM Layout,1550,3,3,2,2.6,Semi-Furnished,0,101.01
Indiranagar,1597,3,4,2,1.7,Semi-Furnished,1,160.03
Electronic City,2052,4,5,3,6.7,Semi-Furnished,1,100.83
Koramangala,1896,4,3,0,2.8,Furnished,1,223.14
JP Nagar,1997,4,4,3,6.0,Semi-Furnished,1,157.46
Whitefield,599,1,1,1,9.1,Furnished,1,39.74
Marathahalli,1509,3,2,1,8.6,Semi-Furnished,1,88.05
Sarjapur Road,1789,3,3,2,2.8,Unfurnished,1,106.98
BTM Layout,1512,3,2,0,5.0,Furnished,0,124.57
Jayanagar,1677,3,3,2,3.6,Unfurnished,1,127.78
Whitefield,985,2,2,0,12.3,Semi-Furnished,0,54.56
JP Nagar,1453,3,2,1,12.7,Unfurnished,0,105.46
Marathahalli,1301,3,3,1,2.5,Semi-Furnished,0,78.84
Electronic City,489,1,1,2,0.6,Furnished,1,22.44
Electronic City,1129,2,2,3,1.1,Unfurnished,0,42.27
BTM Layout,1051,2,1,1,2.7,Unfurnished,1,78.39
Yelahanka,1191,2,3,1,5.0,Unfurnished,1,61.08
JP Nagar,627,1,2,3,6.4,Semi-Furnished,1,45.91
BTM Layout,997,2,1,2,2.4,Unfurnished,0,71.0
Marathahalli,1822,3,4,2,6.6,Semi-Furnished,0,118.38
Jayanagar,1486,3,3,0,16.7,Unfurnished,1,121.0
HSR Layout,1674,3,4,3,6.3,Unfurnished,1,165.06
Koramangala,2040,4,5,1,1.0,Semi-Furnished,0,236.23
HSR Layout,1156,2,2,2,5.2,Semi-Furnished,1,108.15
JP Nagar,1189,2,2,0,4.7,Unfurnished,0,80.07
Marathahalli,2131,4,4,2,12.3,Semi-Furnished,1,120.7
BTM Layout,697,2,2,1,2.6,Furnished,0,52.16
HSR Layout,2803,5,4,3,3.3,Unfurnished,1,243.48
Marathahalli,2285,4,5,2,5.5,Unfurnished,1,141.35
Yelahanka,1579,3,3,2,4.5,Semi-Furnished,1,72.82
Marathahalli,2867,5,5,1,7.6,Unfurnished,1,139.91
Hebbal,342,1,2,3,0.2,Unfurnished,0,24.69
Koramangala,942,2,1,1,5.0,Semi-Furnished,1,101.07
Jayanagar,1562,3,2,2,0.8,Unfurnished,1,114.51
Electronic City,1112,2,2,1,2.3,Unfurnished,0,45.65
HSR Layout,2282,4,3,2,6.5,Furnished,0,221.43
Jayanagar,578,1,2,2,1.0,Unfurnished,1,48.37
Yelahanka,1561,3,3,1,2.2,Furnished,0,91.03
Sarjapur Road,1502,3,2,1,7.3,Unfurnished,1,72.01
Marathahalli,1352,3,3,3,6.3,Furnished,1,88.31
Hebbal,712,2,3,1,0.6,Semi-Furnished,1,53.59
Jayanagar,1115,2,3,0,5.2,Unfurnished,0,89.62
Yelahanka,2126,4,4,1,1.0,Semi-Furnished,1,99.92
Electronic City,957,2,3,1,1.7,Furnished,0,45.97
Koramangala,1257,3,3,2,3.7,Unfurnished,0,124.59
HSR Layout,1594,3,2,1,0.7,Semi-Furnished,1,162.61
Jayanagar,1460,3,3,3,30.4,Unfurnished,1,106.41
Whitefield,1584,3,3,3,1.1,Semi-Furnished,0,103.9
Indiranagar,1330,2,2,0,9.1,Semi-Furnished,0,130.61
Koramangala,1179,3,3,2,10.6,Unfurnished,1,124.65
Sarjapur Road,1995,4,4,1,31.2,Unfurnished,1,82.29
Koramangala,1019,2,3,3,3.4,Semi-Furnished,1,128.44
Jayanagar,3018,5,5,2,12.4,Furnished,1,295.01
Indiranagar,805,2,3,2,19.0,Unfurnished,1,66.65
Marathahalli,1340,2,2,1,1.1,Semi-Furnished,1,94.79
Koramangala,1070,2,3,0,3.9,Unfurnished,1,115.67
Indiranagar,2086,4,3,0,0.4,Semi-Furnished,1,255.93
Jayanagar,1020,2,3,2,5.8,Semi-Furnished,0,89.73
Whitefield,2035,4,3,3,5.2,Semi-Furnished,1,122.06
Whitefield,2257,4,5,1,1.4,Furnished,1,153.32
Indiranagar,890,2,2,0,9.6,Unfurnished,0,76.11
Whitefield,652,1,1,0,0.2,Unfurnished,1,37.7
Electronic City,1442,3,2,0,9.8,Furnished,1,74.59
Koramangala,936,2,2,1,0.2,Unfurnished,1,98.93
JP Nagar,1888,3,3,0,6.4,Semi-Furnished,1,128.5
Marathahalli,1113,2,3,1,0.5,Semi-Furnished,1,72.18
Jayanagar,1142,2,2,0,1.7,Semi-Furnished,1,104.66
Koramangala,1671,3,3,4,7.7,Unfurnished,0,154.7
BTM Layout,837,2,2,2,2.0,Unfurnished,0,57.89
HSR Layout,1313,2,2,0,4.3,Semi-Furnished,0,120.12
Electronic City,674,2,2,1,14.8,Unfurnished,1,27.11
Marathahalli,935,2,3,1,0.3,Semi-Furnished,0,59.86
Electronic City,1431,3,2,0,10.0,Semi-Furnished,0,61.24
Koramangala,1587,3,4,1,0.4,Unfurnished,1,155.6
Jayanagar,1083,2,2,1,0.8,Unfurnished,1,105.38
BTM Layout,1475,3,2,0,0.8,Furnished,1,110.58
Jayanagar,1498,3,3,2,30.8,Semi-Furnished,1,103.04
Hebbal,903,2,1,1,1.2,Semi-Furnished,1,62.15
Sarjapur Road,825,2,1,0,13.6,Furnished,1,50.08
Indiranagar,2209,4,5,0,28.2,Semi-Furnished,1,187.99
Koramangala,1604,3,3,2,2.9,Furnished,1,193.8
HSR Layout,1738,3,3,1,6.0,Unfurnished,1,167.51
HSR Layout,1381,3,2,2,9.1,Furnished,0,143.28
HSR Layout,704,1,2,3,3.0,Unfurnished,1,62.67
BTM Layout,1457,3,3,1,1.1,Furnished,1,129.17
Hebbal,1679,3,3,1,3.4,Furnished,1,149.01
Marathahalli,1653,3,3,1,8.9,Unfurnished,1,96.31
Koramangala,1082,2,2,0,9.1,Unfurnished,1,105.41
JP Nagar,549,1,1,3,1.6,Semi-Furnished,1,38.95
Sarjapur Road,1194,2,2,0,1.2,Unfurnished,1,67.92
JP Nagar,2197,4,5,1,15.2,Semi-Furnished,1,166.64
Whitefield,947,2,2,1,0.3,Unfurnished,0,51.84
Yelahanka,851,2,3,0,8.0,Furnished,1,47.93
Whitefield,557,1,1,1,0.3,Unfurnished,1,33.32
Koramangala,827,1,1,2,10.9,Semi-Furnished,1,94.89
Whitefield,1672,3,3,0,14.1,Unfurnished,1,101.09
Marathahalli,1333,3,2,0,2.1,Unfurnished,0,79.43
Hebbal,1325,3,2,0,0.5,Unfurnished,1,91.41
Electronic City,1241,2,1,3,3.9,Semi-Furnished,0,58.92
HSR Layout,1330,3,3,1,2.1,Unfurnished,1,125.11
HSR Layout,1126,2,2,3,3.2,Furnished,1,117.87
HSR Layout,958,2,2,1,6.6,Unfurnished,1,95.21
Indiranagar,1293,2,2,2,1.4,Semi-Furnished,0,124.4
HSR Layout,934,2,3,4,2.6,Semi-Furnished,1,96.1
Hebbal,1222,2,2,1,9.2,Semi-Furnished,1,90.2
Electronic City,1528,3,2,0,6.2,Unfurnished,1,62.16
Electronic City,1538,3,4,2,2.4,Semi-Furnished,1,75.43
Koramangala,1204,3,3,1,6.5,Semi-Furnished,1,139.42
Sarjapur Road,720,2,2,2,8.7,Unfurnished,1,38.27
Yelahanka,567,1,1,1,5.4,Unfurnished,1,27.98
Yelahanka,1087,2,2,3,1.6,Unfurnished,1,53.96
HSR Layout,2631,5,5,3,0.0,Unfurnished,1,254.23
Marathahalli,1337,3,3,0,9.7,Unfurnished,1,70.67
Whitefield,1584,3,3,1,10.4,Unfurnished,0,82.39
Yelahanka,684,1,1,2,7.2,Semi-Furnished,1,34.8
BTM Layout,1479,3,4,0,0.5,Unfurnished,0,112.27
Marathahalli,717,1,1,0,5.3,Unfurnished,0,33.75
BTM Layout,1324,3,3,0,10.3,Unfurnished,1,81.63
Hebbal,2047,4,3,0,3.0,Semi-Furnished,1,174.3
Indiranagar,3047,5,6,2,1.3,Unfurnished,0,297.81
BTM Layout,1510,3,2,2,5.3,Semi-Furnished,1,108.87
Whitefield,1069,2,1,1,10.5,Semi-Furnished,1,67.34
Jayanagar,2446,4,5,1,0.3,Semi-Furnished,1,216.64
Indiranagar,1290,3,3,0,5.5,Unfurnished,1,103.91
Whitefield,719,1,1,3,6.2,Semi-Furnished,0,43.87
HSR Layout,1300,2,2,2,5.5,Unfurnished,0,103.77
Koramangala,1001,2,2,1,6.3,Furnished,0,115.22
Jayanagar,1179,2,2,1,6.0,Semi-Furnished,0,101.69
Marathahalli,903,2,2,2,0.8,Semi-Furnished,1,57.0
Whitefield,1397,3,3,2,1.6,Furnished,1,86.42
Indiranagar,1108,2,1,2,5.8,Semi-Furnished,1,112.95
Jayanagar,1170,2,2,1,0.1,Unfurnished,1,102.8
Koramangala,1668,3,3,0,6.0,Unfurnished,1,151.94
Hebbal,2335,4,4,1,6.6,Semi-Furnished,1,148.74
Yelahanka,1490,3,3,3,1.6,Furnished,1,80.16
JP Nagar,1229,2,1,2,5.5,Furnished,1,109.24
Hebbal,2049,4,3,1,4.6,Semi-Furnished,0,122.83
HSR Layout,2235,4,4,0,1.8,Unfurnished,0,205.11
Yelahanka,1081,2,2,2,3.7,Semi-Furnished,1,58.11
Koramangala,667,1,2,3,14.4,Semi-Furnished,1,67.72
Koramangala,1564,3,3,0,3.3,Unfurnished,1,144.79
JP Nagar,1259,3,2,2,6.0,Semi-Furnished,1,91.52
HSR Layout,2631,5,4,1,0.2,Semi-Furnished,1,273.85
JP Nagar,2115,4,4,3,0.5,Furnished,0,194.72
JP Nagar,1247,3,3,0,0.5,Semi-Furnished,1,93.19
BTM Layout,1625,3,2,4,9.0,Unfurnished,1,116.86
BTM Layout,731,1,1,0,2.6,Unfurnished,1,53.83
HSR Layout,1099,2,2,2,1.5,Furnished,1,117.2
Koramangala,882,2,2,1,8.3,Furnished,1,97.75
Marathahalli,1707,3,2,1,1.1,Unfurnished,1,94.53
HSR Layout,1806,3,3,0,1.7,Semi-Furnished,1,198.55
Marathahalli,1522,3,3,0,3.4,Furnished,1,103.02
Hebbal,1127,2,3,0,2.4,Furnished,1,101.33
Hebbal,1530,3,4,1,5.3,Semi-Furnished,0,109.97
HSR Layout,680,1,1,1,2.5,Unfurnished,1,59.06
Indiranagar,1032,2,2,3,3.0,Semi-Furnished,0,107.57
HSR Layout,1495,3,4,0,11.9,Unfurnished,1,145.35
Indiranagar,1636,3,3,2,13.0,Furnished,0,156.91
BTM Layout,3152,5,4,1,10.6,Unfurnished,1,220.25
Koramangala,840,2,2,0,12.0,Semi-Furnished,1,88.16
Indiranagar,1034,2,2,2,5.1,Semi-Furnished,1,95.09
Whitefield,873,2,3,2,6.2,Semi-Furnished,1,49.45
Yelahanka,1289,2,2,2,4.9,Semi-Furnished,1,64.66
Yelahanka,2012,4,5,1,9.2,Unfurnished,0,93.48
Koramangala,1284,3,4,1,4.8,Semi-Furnished,1,153.16
Electronic City,2196,4,4,1,0.7,Unfurnished,1,84.9
HSR Layout,1312,2,3,0,10.0,Unfurnished,1,117.83
Koramangala,2200,4,3,1,8.6,Furnished,1,254.31
Yelahanka,631,1,1,1,10.3,Semi-Furnished,0,30.02
Marathahalli,2161,4,5,1,1.3,Semi-Furnished,1,142.85
HSR Layout,1262,2,2,1,1.9,Semi-Furnished,1,137.86
Indiranagar,919,2,3,1,2.1,Semi-Furnished,0,96.57
Sarjapur Road,1483,3,3,1,4.3,Semi-Furnished,1,78.61
HSR Layout,2032,4,3,2,0.9,Semi-Furnished,1,196.79
Hebbal,425,1,1,4,2.9,Furnished,0,34.78
Indiranagar,1001,2,2,1,1.2,Semi-Furnished,1,112.34
Jayanagar,2266,4,4,3,1.8,Semi-Furnished,1,215.29
Whitefield,1135,2,2,4,7.4,Semi-Furnished,1,67.08
Jayanagar,1147,2,1,1,11.6,Unfurnished,1,80.24
Sarjapur Road,1072,2,3,2,0.1,Semi-Furnished,1,69.0
HSR Layout,1128,2,2,1,5.0,Furnished,1,107.0
Whitefield,1980,4,4,0,0.2,Unfurnished,1,125.03
Whitefield,1454,3,3,1,0.5,Unfurnished,1,91.59
HSR Layout,1529,3,3,2,7.3,Semi-Furnished,1,137.64
Indiranagar,2842,5,4,3,8.0,Unfurnished,1,260.75
Whitefield,1098,2,1,0,10.1,Furnished,1,72.84
Hebbal,579,1,2,2,3.9,Unfurnished,0,36.68
HSR Layout,993,2,3,3,11.8,Unfurnished,1,75.83
Koramangala,1524,2,2,1,1.1,Furnished,1,188.57
BTM Layout,1186,2,2,1,1.7,Unfurnished,1,84.33
Electronic City,2162,4,5,1,0.9,Semi-Furnished,1,113.12
Sarjapur Road,1465,3,4,0,9.6,Furnished,1,86.42
Koramangala,982,2,3,0,1.6,Semi-Furnished,1,121.76
BTM Layout,1480,3,3,4,1.0,Semi-Furnished,0,100.62
Marathahalli,1544,3,4,2,5.9,Unfurnished,1,79.17
JP Nagar,1818,4,4,1,0.5,Unfurnished,1,132.73
Sarjapur Road,1865,4,4,2,0.3,Unfurnished,1,97.61
Koramangala,1404,3,4,2,0.7,Unfurnished,1,136.7
Sarjapur Road,1531,3,2,3,0.0,Semi-Furnished,0,101.44
HSR Layout,1464,3,2,1,7.2,Unfurnished,1,122.28
HSR Layout,1722,3,3,2,5.0,Semi-Furnished,1,189.83
Koramangala,378,1,2,0,1.4,Unfurnished,1,37.63
Jayanagar,937,2,2,3,1.6,Semi-Furnished,1,75.01
Indiranagar,1728,3,4,0,10.0,Unfurnished,1,174.69
Jayanagar,1070,2,2,0,4.2,Unfurnished,0,80.48
Jayanagar,733,1,1,1,7.2,Semi-Furnished,0,61.77
Hebbal,1808,3,4,3,3.6,Semi-Furnished,0,117.3
JP Nagar,496,1,1,3,1.6,Furnished,1,43.15
HSR Layout,1485,3,4,0,21.1,Furnished,0,118.18
Koramangala,1459,3,3,2,5.0,Semi-Furnished,1,159.64
Koramangala,2507,5,5,2,0.8,Semi-Furnished,1,275.91
